text,intent
please how many entered for this session,people_in
can you tell me what's the big picture exactly,summary
which slot saw the most movement?,busiest_hour
tell me general summary?,summary
how many made their way out,people_out
how many came inward,people_in
please what can you answer,help
did anything unusual get flagged right now,anomalies
could you tell me yo,greet
exits count overall,people_out
just curious how many each hour for this session,hourly
could you tell me biggest crowd recorded,peak
how many crossed altogether,people_total
so which hour was busiest,busiest_hour
just curious guide me overall,help
can you tell me how busy with people,people_total
forecast the next intervals?,forecast
were there anomalies for this session,anomalies
so count of people out in this footage,people_out
most crowded it got in this footage,peak
can you tell me what comes next please,forecast
tell me detection accuracy please,confidence
hey were there anomalies in this footage,anomalies
i want to know breakdown by hour for this session,hourly
can you tell me how many went outward for this session,people_out
tell me how many came through inbound,people_in
number of pedestrians leaving for this session,people_out
is it getting busier or quieter,forecast
breakdown by hour in this footage,hourly
can you tell me how good is the detection quality,confidence
tell me what info do you have,help
total entering the area overall,people_in
could you tell me show me the options please,help
tell me people in the last hour,last_window
so what info do you have,help
tell me where is footfall heading exactly,forecast
tell me how many entered in the last 45 minutes,last_window
how many came through inbound,people_in
people in the last hour for this session,last_window
count of people in right now,people_in
can you tell me peak time of day for this session,busiest_hour
can you tell me how does this work exactly,help
i want to know how many people in total,people_total
quick question busiest moment exactly,peak
please anything out of the ordinary overall,anomalies
tell me how many in the last 10 minutes exactly,last_window
in the previous twenty minutes how many walked through,last_window
just curious what can you tell me,help
people out,people_out
general summary exactly,summary
please what was the peak crowd for this session,peak
quick question what is the accuracy,confidence
so what time of day was heaviest,busiest_hour
anomaly count,anomalies
how packed did it get at most please,peak
how many in the last 10 minutes,last_window
so inbound people count overall,people_in
anything strange right now,anomalies
please anomaly count overall,anomalies
how many headed inside in this footage,people_in
hey counts for every hour right now,hourly
please tell me everything in this footage,summary
so inbound people count exactly,people_in
tell me count of people out in this footage,people_out
so what happened overall,summary
please most crowded it got please,peak
just curious recently how many came through right now,last_window
so peak number of people exactly,peak
just curious greetings right now,greet
so headcount that exited,people_out
so hiya overall,greet
give me the hourly breakdown overall,hourly
did the crowd do anything odd in this footage,anomalies
quick question what's the average certainty,confidence
were there any surges right now,anomalies
what will the crowd do next in this footage,forecast
"hey, you there? please",greet
peak time of day,busiest_hour
please what time of day was heaviest for this session,busiest_hour
average confidence,confidence
how reliable are the detections,confidence
what's up,greet
howdy in this footage,greet
please how confident is the model exactly,confidence
quick question how many people overall?,people_total
forecast the next intervals,forecast
hey buddy,greet
i want to know what was the peak crowd in this footage,peak
how many in the past 15 minutes overall,last_window
could you tell me footfall during the last 5 mins,last_window
so predict the crowd overall,forecast
please how many people went out,people_out
could you tell me what's the overall report for this session,summary
